,Accuracy,Precision,Recall,F1 Score,FPR,FNR
"val layers=[128, 64], epochs=100, min_delta=0.0, patience=1, dropout_rate=0.5",0.9585511858755777,0.9588090764561353,0.9620069605568445,0.9604053564965617,0.045230915727662274,0.03799303944315545
"train layers=[128, 64], epochs=100, min_delta=0.0, patience=3, dropout_rate=0.3",0.9575693286861646,0.9568884384275682,0.9618323388153107,0.9593540192342588,0.04706021811284969,0.038167661184689276
"val layers=[128, 64], epochs=100, min_delta=0.0, patience=3, dropout_rate=0.3",0.9590058346593923,0.9549033643521833,0.9672273781902552,0.9610258626900079,0.04999206475162673,0.03277262180974478
"train layers=[128, 64], epochs=100, min_delta=0.0, patience=3, dropout_rate=0.5",0.9565843309592362,0.9567077592458303,0.960049483335759,0.9583757082667441,0.047178757705073494,0.039950516664241015
"val layers=[128, 64], epochs=100, min_delta=0.0, patience=3, dropout_rate=0.5",0.9564294915511101,0.9544212796549245,0.9625870069605569,0.9584867518590715,0.05030947468655769,0.037412993039443156
"train layers=[128, 64], epochs=100, min_delta=0.0, patience=5, dropout_rate=0.3",0.9556751022882255,0.9564002032963044,0.9585577063018483,0.9574777394148646,0.047455350086929034,0.04144229369815165
"val layers=[128, 64], epochs=100, min_delta=0.0, patience=5, dropout_rate=0.3",0.9563537167538076,0.9554626693571634,0.9612819025522041,0.9583634523637415,0.04903983494683384,0.03871809744779582
"train layers=[128, 64], epochs=100, min_delta=0.0, patience=5, dropout_rate=0.5",0.9570200030307623,0.9555555555555556,0.9621961868723621,0.9588643739009046,0.048601232811759126,0.0378038131276379
"val layers=[128, 64], epochs=100, min_delta=0.0, patience=5, dropout_rate=0.5",0.9595362582405093,0.9545584452700772,0.968677494199536,0.9615661436591334,0.05046817965402317,0.031322505800464036
"train layers=[128, 64], epochs=100, min_delta=0.001, patience=1, dropout_rate=0.3",0.9559213517199576,0.956122856003191,0.9593581720273614,0.9577377817329871,0.04781096886360044,0.04064182797263863
"val layers=[128, 64], epochs=100, min_delta=0.001, patience=1, dropout_rate=0.3",0.9555201939834811,0.953819594302978,0.9614269141531323,0.9576081461688453,0.05094429455641961,0.03857308584686775
"train layers=[128, 64], epochs=100, min_delta=0.001, patience=1, dropout_rate=0.5",0.9545953932414002,0.9536035873142155,0.9594673264444767,0.9565264704282062,0.05069543227437964,0.040532673555523216
"val layers=[128, 64], epochs=100, min_delta=0.001, patience=1, dropout_rate=0.5",0.9550655451996666,0.9527366757649763,0.9617169373549884,0.9572057443891174,0.05221393429614347,0.0382830626450116
"train layers=[128, 64], epochs=100, min_delta=0.001, patience=3, dropout_rate=0.3",0.9553151992726171,0.9556087476879556,0.9587032455246689,0.9571534954683328,0.04836415362731152,0.0412967544753311
"val layers=[128, 64], epochs=100, min_delta=0.001, patience=3, dropout_rate=0.3",0.9568841403349246,0.9549834603768158,0.962877030162413,0.9589140010109033,0.049674654816695765,0.037122969837587005
"train layers=[128, 64], epochs=100, min_delta=0.001, patience=3, dropout_rate=0.5",0.9567737535990302,0.9548112322240669,0.9625236501237083,0.958651929697409,0.04947052315473368,0.03747634987629166
"val layers=[128, 64], epochs=100, min_delta=0.001, patience=3, dropout_rate=0.5",0.9599909070243237,0.9553775743707094,0.968677494199536,0.9619815668202765,0.04951594984923028,0.031322505800464036
"train layers=[128, 64], epochs=100, min_delta=0.001, patience=5, dropout_rate=0.3",0.9536861645703895,0.9539833919570657,0.9572114684907582,0.9555947040555021,0.050142247510668564,0.042788531509241744
"val layers=[128, 64], epochs=100, min_delta=0.001, patience=5, dropout_rate=0.3",0.9562779419565053,0.9534950480838238,0.9633120649651972,0.9583784173699776,0.05142040945881606,0.036687935034802784
"train layers=[128, 64], epochs=100, min_delta=0.001, patience=5, dropout_rate=0.5",0.9552204879527201,0.9568934157875592,0.9571023140736429,0.95699785353076,0.046823138928402085,0.042897685926357156
"val layers=[128, 64], epochs=100, min_delta=0.001, patience=5, dropout_rate=0.5",0.9550655451996666,0.9556165967905161,0.9585266821345708,0.9570694273510462,0.048722425011902874,0.04147331786542923
"train layers=[256, 128, 64], epochs=50, min_delta=0.0, patience=1, dropout_rate=0.3",0.9436846491892711,0.9554762701155833,0.9354169698733809,0.9453402217278594,0.04733681049470523,0.06458303012661912
"val layers=[256, 128, 64], epochs=50, min_delta=0.0, patience=1, dropout_rate=0.3",0.9446843979692354,0.9568761114404268,0.9363399071925754,0.9464966285546761,0.046183145532455165,0.0636600928074246
"train layers=[256, 128, 64], epochs=50, min_delta=0.0, patience=1, dropout_rate=0.5",0.9571715411425974,0.9539286614116546,0.96430650560326,0.9590895109197171,0.05057689268215584,0.035693494396739925
"val layers=[256, 128, 64], epochs=50, min_delta=0.0, patience=1, dropout_rate=0.5",0.9599151322270213,0.9531672597864769,0.9709976798143851,0.96199985633216,0.05221393429614347,0.029002320185614848
"train layers=[256, 128, 64], epochs=50, min_delta=0.0, patience=3, dropout_rate=0.3",0.9448590695559933,0.9502693590354381,0.9434580119342163,0.946851435978894,0.05361940888256678,0.05654198806578373
"val layers=[256, 128, 64], epochs=50, min_delta=0.0, patience=3, dropout_rate=0.3",0.9443055239827234,0.9462552513399971,0.947215777262181,0.9467352706717879,0.0588795429296937,0.05278422273781903
"train layers=[256, 128, 64], epochs=50, min_delta=0.0, patience=3, dropout_rate=0.5",0.9572851947264737,0.9561381305369734,0.9620870324552467,0.9591033569705653,0.04792950845582424,0.03791296754475331
"val layers=[256, 128, 64], epochs=50, min_delta=0.0, patience=3, dropout_rate=0.5",0.9589300598620899,0.9550272128329992,0.9669373549883991,0.9609453811788442,0.049833359784161244,0.03306264501160093
"train layers=[256, 128, 64], epochs=50, min_delta=0.0, patience=5, dropout_rate=0.3",0.9436846491892711,0.9523827101251338,0.9387643719982536,0.9455245075584059,0.05097202465623518,0.06123562800174647
"val layers=[256, 128, 64], epochs=50, min_delta=0.0, patience=5, dropout_rate=0.3",0.9455936955368645,0.9533313765776343,0.9419953596287703,0.9476294675419402,0.05046817965402317,0.058004640371229696
"train layers=[256, 128, 64], epochs=50, min_delta=0.0, patience=5, dropout_rate=0.5",0.9579860584937112,0.9551448335495029,0.9645975840489012,0.9598479362780594,0.04919393077287814,0.035402415951098824
"val layers=[256, 128, 64], epochs=50, min_delta=0.0, patience=5, dropout_rate=0.5",0.9568841403349246,0.9512195121951219,0.9670823665893271,0.9590853527000791,0.05427709887319473,0.03291763341067285
"train layers=[256, 128, 64], epochs=50, min_delta=0.001, patience=1, dropout_rate=0.3",0.9311069859069556,0.9286099428448182,0.9399286857808179,0.934235032457552,0.07847321005215742,0.06007131421918207
"val layers=[256, 128, 64], epochs=50, min_delta=0.001, patience=1, dropout_rate=0.3",0.9333939531711752,0.9297243250964148,0.9438805104408353,0.936748938619846,0.07808284399301699,0.05611948955916473
"train layers=[256, 128, 64], epochs=50, min_delta=0.001, patience=1, dropout_rate=0.5",0.9551068343688438,0.9553597331012474,0.9585577063018483,0.9569560479476934,0.04864074600916706,0.04144229369815165
"val layers=[256, 128, 64], epochs=50, min_delta=0.001, patience=1, dropout_rate=0.5",0.9556717435780859,0.9551420741381798,0.9602668213457076,0.9576975920167763,0.0493572448817648,0.03973317865429234
"train layers=[256, 128, 64], epochs=50, min_delta=0.001, patience=3, dropout_rate=0.3",0.9471510834974997,0.9502589161986726,0.9481152670644739,0.9491858813244454,0.053896001264422316,0.051884732935526125
"val layers=[256, 128, 64], epochs=50, min_delta=0.001, patience=3, dropout_rate=0.3",0.9459725695233765,0.9475894020558854,0.949100928074246,0.948344562776208,0.057451198222504364,0.05089907192575406
"train layers=[256, 128, 64], epochs=50, min_delta=0.001, patience=3, dropout_rate=0.5",0.9563759660554629,0.9550070470890102,0.9615048755639645,0.9582449460611006,0.04919393077287814,0.03849512443603551
"val layers=[256, 128, 64], epochs=50, min_delta=0.001, patience=3, dropout_rate=0.5",0.9580207622944609,0.9540378006872853,0.9662122969837587,0.9600864553314121,0.05094429455641961,0.0337877030162413
