,Accuracy,Precision,Recall,F1 Score,FPR,FNR
"val layers=[64], epochs=200, min_delta=0.0, patience=7, dropout_rate=0.5",0.9607486549973479,0.957532281205165,0.9678074245939675,0.962642434732439,0.04697667036978257,0.03219257540603248
"train layers=[64], epochs=200, min_delta=0.0, patience=9, dropout_rate=0.3",0.9595582664040007,0.9588386489519604,0.9636879639062728,0.9612571905565536,0.044926505452821244,0.03631203609372726
"val layers=[64], epochs=200, min_delta=0.0, patience=9, dropout_rate=0.3",0.9609002045919527,0.9588607594936709,0.9666473317865429,0.962738301559792,0.04538962069512776,0.03335266821345707
"train layers=[64], epochs=200, min_delta=0.0, patience=9, dropout_rate=0.5",0.9600318230034853,0.9598071904899971,0.9635788094891573,0.9616893020553418,0.04382013592539908,0.03642119051084267
"val layers=[64], epochs=200, min_delta=0.0, patience=9, dropout_rate=0.5",0.9610517541865575,0.9586087956309284,0.9672273781902552,0.9628988017900967,0.04570703063005872,0.03277262180974478
"train layers=[64], epochs=200, min_delta=0.001, patience=3, dropout_rate=0.3",0.9593688437642067,0.9585580368453437,0.9636151942948624,0.9610799629851396,0.04524261103208472,0.03638480570513754
"val layers=[64], epochs=200, min_delta=0.001, patience=3, dropout_rate=0.3",0.9597635826324165,0.9570587390492604,0.9663573085846868,0.9616855472977849,0.04745278527217902,0.033642691415313224
"train layers=[64], epochs=200, min_delta=0.001, patience=3, dropout_rate=0.5",0.9576450977420822,0.9567293777134588,0.962159802066657,0.959436905884914,0.047257784099889365,0.037840197933343034
"val layers=[64], epochs=200, min_delta=0.001, patience=3, dropout_rate=0.5",0.9602940062135333,0.9582853855005754,0.9660672853828306,0.9621606008087811,0.04602444056498969,0.033932714617169374
"train layers=[64], epochs=200, min_delta=0.001, patience=5, dropout_rate=0.3",0.9592741324443097,0.9593153963304083,0.9625964197351187,0.9609531074061967,0.04433380749170223,0.037403580264881386
"val layers=[64], epochs=200, min_delta=0.001, patience=5, dropout_rate=0.3",0.9596120330378116,0.958627648839556,0.9643271461716937,0.9614689510590617,0.04554832566259324,0.03567285382830626
"train layers=[64], epochs=200, min_delta=0.001, patience=5, dropout_rate=0.5",0.9590278830125777,0.9597632276573338,0.9616140299810799,0.9606877374093528,0.04378062272799115,0.0383859700189201
"val layers=[64], epochs=200, min_delta=0.001, patience=5, dropout_rate=0.5",0.9608244297946503,0.959648364317625,0.9656322505800464,0.9626310083122516,0.04443739089033487,0.034367749419953596
"train layers=[64], epochs=200, min_delta=0.001, patience=7, dropout_rate=0.3",0.9588574026367631,0.9610900612066453,0.9598311745015282,0.9604602053447899,0.04220009483167378,0.04016882549847184
"val layers=[64], epochs=200, min_delta=0.001, patience=7, dropout_rate=0.3",0.9577934379025536,0.9587494572297004,0.9605568445475638,0.9596522998913437,0.045230915727662274,0.03944315545243619
"train layers=[64], epochs=200, min_delta=0.001, patience=7, dropout_rate=0.5",0.9590278830125777,0.9591629492619591,0.9622689564837724,0.9607134424323882,0.044491860281333964,0.03773104351622762
"val layers=[64], epochs=200, min_delta=0.001, patience=7, dropout_rate=0.5",0.9609759793892552,0.958866676254854,0.966792343387471,0.9628131995089898,0.04538962069512776,0.033207656612529
"train layers=[64], epochs=200, min_delta=0.001, patience=9, dropout_rate=0.3",0.9591225943324746,0.9626260412099956,0.9587032455246689,0.9606606387633075,0.04042200094831674,0.0412967544753311
"val layers=[64], epochs=200, min_delta=0.001, patience=9, dropout_rate=0.3",0.9599151322270213,0.961577497462665,0.9617169373549884,0.9616472123540927,0.042056816378352645,0.0382830626450116
"train layers=[64], epochs=200, min_delta=0.001, patience=9, dropout_rate=0.5",0.9589899984846189,0.958893681806648,0.9624872653180032,0.9606871129995823,0.04480796586059744,0.0375127346819968
"val layers=[64], epochs=200, min_delta=0.001, patience=9, dropout_rate=0.5",0.9590058346593923,0.957787062382942,0.9640371229698376,0.9609019296090193,0.04650055546738613,0.03596287703016241
"train layers=[64], epochs=500, min_delta=0.0, patience=3, dropout_rate=0.3",0.9599371116835884,0.9588352324109242,0.9644520448260806,0.9616354368843985,0.04496601865022918,0.03554795517391937
"val layers=[64], epochs=500, min_delta=0.0, patience=3, dropout_rate=0.3",0.960597105402743,0.9577828834003447,0.9672273781902552,0.9624819624819625,0.046659260434851614,0.03277262180974478
"train layers=[64], epochs=500, min_delta=0.0, patience=3, dropout_rate=0.5",0.9586869222609486,0.9591029502485757,0.961650414786785,0.960374993186897,0.0445313734787419,0.03834958521321496
"val layers=[64], epochs=500, min_delta=0.0, patience=3, dropout_rate=0.5",0.960597105402743,0.9596309111880046,0.9651972157772621,0.9624060150375939,0.04443739089033487,0.03480278422273782
"train layers=[64], epochs=500, min_delta=0.0, patience=5, dropout_rate=0.3",0.9591036520684952,0.9589026202297685,0.962705574152234,0.9608003340777457,0.04480796586059744,0.037294425847765975
"val layers=[64], epochs=500, min_delta=0.0, patience=5, dropout_rate=0.3",0.9599909070243237,0.9590542099192618,0.9646171693735499,0.9618276460381724,0.045072210760196796,0.03538283062645012
"train layers=[64], epochs=500, min_delta=0.0, patience=5, dropout_rate=0.5",0.9594256705561449,0.9595604236181634,0.9626328045408238,0.9610941586748039,0.04405721510984669,0.03736719545917625
"val layers=[64], epochs=500, min_delta=0.0, patience=5, dropout_rate=0.5",0.9617337273622794,0.9598503381781551,0.9672273781902552,0.9635247381726255,0.04427868592286938,0.03277262180974478
